agoitz	aɡoits̻
agurain	aɡuɾain
aiako	aiako
ainhoa	ainoa
aizkorri	ais̻kori
alemania	alemania
altsasu	alts̺as̺u
amorebieta	amoɾebieta
amurrio	amurio
anboto	anboto
andoain	andoain
angelu	anɡelu
araba	aɾaba
aralar	aɾalaɾ
arrasate	aras̺ate
arrigorriaga	ariɡoriaɡa
atharratze	atarats̻e
azkoitia	as̻koitia
azpeitia	as̻peitia
baiona	baiona
balmaseda	balmas̺eda
barakaldo	baɾakaldo
bartzelona	baɾts̻elona
basauri	bas̺auɾi
batua	batua
beasain	beas̺ain
bera	beɾa
bergara	beɾɡaɾa
bermeo	beɾmeo
bidasoa	bidas̺oa
bilbo	bilbo
bizkaia	bis̻kaia
bordele	boɾdele
cambridge	kambɾitʃ
deba	deba
donapaleu	donapaleu
donibane	donibane
donostia	donos̺tia
durango	duɾanɡo
eibar	eibaɾ
elgoibar	elɡoibaɾ
elizondo	elis̻ondo
erandio	eɾandio
ernio	eɾnio
errenteria	erenteɾia
erresuma	eres̺uma
errioxa	erioʃa
erroma	eroma
espainia	es̺painia
euskadi	eus̺kadi
euskal	eus̺kal
frantzia	fɾants̻ia
galdakao	ɡaldakao
garazi	ɡaɾas̻i
gasteiz	ɡas̺teis̻
gaztela	ɡas̻tela
gernika	ɡeɾnika
getaria	ɡetaɾia
getxo	ɡetʃo
gipuzkoa	ɡipus̻koa
gorbeia	ɡoɾbeia
gorliz	ɡoɾlis̻
harria	aria
hazparne	as̻paɾne
hegoalde	eɡoalde
hendaia	endaia
hernani	eɾnani
herria	eria
hollywood	oliu̯ud
hondarribia	ondaribia
ibaizabal	ibais̻abal
iparralde	iparalde
irun	iɾun
iruña	iɾuɲa
iruñea	iɾuɲea
italia	italia
jaizkibel	jais̻kibel
kanbo	kanbo
kantabria	kantabɾia
laguardia	laɡuaɾdia
lapurdi	lapuɾdi
lasarte	las̺aɾte
laudio	laudio
legazpi	leɡas̻pi
leioa	leioa
leitza	leits̻a
lekeitio	lekeitio
lisboa	lis̺boa
liverpool	libeɾpul
lizarra	lis̻ara
lohizune	lois̻une
madril	madɾil
maule	maule
miarritze	miarits̻e
mungia	munɡia
mutriku	mutɾiku
münchen	muntʃen
nafarroa	nafaroa
nerbioi	neɾbioi
new	niu
oiartzun	oiaɾts̻un
okzitania	oks̻itania
ondarroa	ondaroa
orio	oɾio
oñati	oɲati
pasaia	pas̺aia
paue	paue
plentzia	plents̻ia
portugalete	poɾtuɡalete
santurtzi	s̺antuɾts̻i
sara	s̺aɾa
sestao	s̺es̺tao
sopela	s̺opela
street	estɾit
tolosa	tolos̺a
tutera	tuteɾa
urumea	uɾumea
usurbil	us̺uɾbil
uztaritze	us̻taɾits̻e
wall	u̯al
washington	u̯asinton
york	jork
zangoza	s̻anɡos̻a
zarautz	s̻aɾauts̻
ziburu	s̻ibuɾu
zuberoa	s̻ubeɾoa
zumaia	s̻umaia
zumarraga	s̻umaraɡa
zürich	s̻uɾik
