word	accent_class	accent_syllable	gloss	source
antzar	accented	1	goose	egurtzegi_elordieta_prosodic §2.2.2 ex.(5), Old Latin ánser > ántzar (Getxo-Gernika); Hualde 1997/1999
liburu	accented	1	book	egurtzegi_elordieta_prosodic §2.2.2 ex.(5), Old Latin líbrum > líburu (Getxo-Gernika); Hualde 1997/1999
makila	accented	2	stick	egurtzegi_elordieta_prosodic §2.2.2 ex.(5), Old Latin bacílla > makíla (Getxo-Gernika); Hualde 1997/1999
kipula	accented	2	onion	egurtzegi_elordieta_prosodic §2.2.2 ex.(5) & §3.1 ex., Lat. cepúlla > kipúla (Getxo-Gernika); Hualde 1997/1999
ganbara	accented	2	loft, attic	egurtzegi_elordieta_prosodic §3.1, loanword ganbára < Lat. cambra; Hualde 1997/1999
belarri	accented	1	ear	egurtzegi_elordieta_prosodic §3.1, opaque accented compound bélarri; Hualde 1997/1999
eguzki	accented	2	sun	egurtzegi_elordieta_prosodic §3.1, opaque accented compound egúzki (written egúski); Hualde 1997/1999
burugogor	accented	2	stubborn	egurtzegi_elordieta_prosodic §3.1, transparent accented compound burú-gogor (head-hard); Hualde 1997/1999
begigorri	accented	2	red-eyed	egurtzegi_elordieta_prosodic §3.1, transparent accented compound begí-gorri (eye-red); Hualde 1997/1999
amuma	accented	2	grandmother	egurtzegi_elordieta_prosodic §3.1 ex.(9b), lexically accented amúma; Hualde 1997/1999, Elordieta 2011b
lagun	unaccented		friend	egurtzegi_elordieta_prosodic §3.1 ex.(7)-(9), lagune 'the friend' unaccented (derived accent laguné only phrase-finally); Hualde 1997/1999
kale	unaccented		street	egurtzegi_elordieta_prosodic §3.1 ex.(8b), unaccented stem (plural kalíetan via pre-accenting -e-); Hualde 1997
txakur	unaccented		dog	egurtzegi_elordieta_prosodic §3.1, unaccented stem (plural txakúrrak/txakúrrek via pre-accenting -ak/-e-); Hualde 1997
etxe	unaccented		house	egurtzegi_elordieta_prosodic §3.1, unaccented stem (plural etxéetan via pre-accenting -e-); Hualde 1997, Trask 2003:119
alkondara	accented	3	shirt	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing; Lekeitio lexical accent = penultimate syllable
denpora	accented	2	time	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing (Lat. tempora); penultimate accent
domeka	accented	2	Sunday	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing (Lat. dominica); penultimate accent
errenta	accented	2	rent	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing; penultimate accent
eskola	accented	2	school	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(116)-(117a) pp.52-53, accented root /eskola*/; penultimate accent
espillu	accented	2	mirror	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing (Lat. speculum); penultimate accent
ixara	accented	2	bed sheet	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing; penultimate accent
katillu	accented	2	cup	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing (Lat. catillum); penultimate accent
kerixa	accented	2	cherry	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing (Lat. ceresia); penultimate accent
puxika	accented	2	bladder	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing; penultimate accent
txiringa	accented	2	syringe	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117a) p.53, accented old borrowing; penultimate accent
abixu	accented	2	warning	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. aviso, paroxytone); penultimate accent
animo	accented	2	courage	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53 & §2.9 p.68 (Sp. ánimo > anímo); penultimate accent
aspiradora	accented	4	vacuum cleaner	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. paroxytone); penultimate accent
bakuna	accented	2	vaccine	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. vacuna); penultimate accent
bañera	accented	2	bath tub	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. bañera); penultimate accent
dutxa	accented	1	shower	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. ducha); penultimate accent
ekipaje	accented	3	luggage	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. equipaje); penultimate accent
gasolina	accented	3	gasoline	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. gasolina); penultimate accent
karpeta	accented	2	folder	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. carpeta); penultimate accent
kutxillo	accented	2	knife	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. cuchillo); penultimate accent
lanpara	accented	2	lamp	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117b) p.53, accented modern borrowing (Sp. lámpara adopted with penultimate accent)
amaika	accented	2	eleven	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word; penultimate accent
